name,params,desc
actions.cancelWorkflowRun,!owner;!repo;!run_id,"Cancel a workflow run"
actions.createOrUpdateSecretForRepo,!owner;!repo;!name;encrypted_value;key_id,"Create or update a secret for a repository"
actions.createRegistrationToken,!owner;!repo,"Create a registration token"
actions.createRemoveToken,!owner;!repo,"Create a remove token"
actions.deleteArtifact,!owner;!repo;!artifact_id,"Delete an artifact"
actions.deleteSecretFromRepo,!owner;!repo;!name,"Delete a secret from a repository"
actions.downloadArtifact,!owner;!repo;!artifact_id;!archive_format,"Download an artifact"
actions.getArtifact,!owner;!repo;!artifact_id,"Get an artifact"
actions.getPublicKey,!owner;!repo,"Get your public key"
actions.getSecret,!owner;!repo;!name;per_page;page,"Get a secret"
actions.getSelfHostedRunner,!owner;!repo;!runner_id,"Get a self-hosted runner"
actions.getWorkflow,!owner;!repo;!workflow_id,"Get a workflow"
actions.getWorkflowJob,!owner;!repo;!job_id,"Get a workflow job"
actions.getWorkflowRun,!owner;!repo;!run_id,"Get a workflow run"
actions.listDownloadsForSelfHostedRunnerApplication,!owner;!repo,"List downloads for the self-hosted runner application"
actions.listJobsForWorkflowRun,!owner;!repo;!run_id;per_page;page,"List jobs for a workflow run"
actions.listRepoWorkflowRuns,!owner;!repo;actor;branch;event;status;per_page;page,"List repository workflow runs"
actions.listRepoWorkflows,!owner;!repo;per_page;page,"List repository workflows"
actions.listSecretsForRepo,!owner;!repo;per_page;page,"List secrets for a repository"
actions.listSelfHostedRunnersForRepo,!owner;!repo;per_page;page,"List self-hosted runners for a repository"
actions.listWorkflowJobLogs,!owner;!repo;!job_id;per_page;page,"List workflow job logs"
actions.listWorkflowRunArtifacts,!owner;!repo;!run_id;per_page;page,"List workflow run artifacts"
actions.listWorkflowRunLogs,!owner;!repo;!run_id;per_page;page,"List workflow run logs"
actions.listWorkflowRuns,!owner;!repo;!workflow_id;actor;branch;event;status;per_page;page,"List workflow runs"
actions.reRunWorkflow,!owner;!repo;!run_id,"Re-run a workflow"
