name,desc
owner,"owner parameter"
repo,"repo parameter"
run_id,"run_id parameter"
name,"name parameter"
encrypted_value,"Value for your secret, encrypted with LibSodium using the public key retrieved from the Get your public key endpoint."
key_id,"ID of the key you used to encrypt the secret."
artifact_id,"artifact_id parameter"
archive_format,"archive_format parameter"
per_page,"Results per page (max 100)"
page,"Page number of the results to fetch."
runner_id,"runner_id parameter"
workflow_id,"workflow_id parameter"
job_id,"job_id parameter"
actor,"Returns someone's workflow runs. Use the login for the user who created the push associated with the check suite or workflow run."
branch,"Returns workflow runs associated with a branch. Use the name of the branch of the push."
event,"Returns workflow run triggered by the event you specify. For example, push, pull_request or issue. For more information, see `Events that trigger workflows` in the GitHub Help documentation."
status,"Returns workflow runs associated with the check run status or conclusion you specify. For example, a conclusion can be success or a status can be completed. For more information, see the status and conclusion options available in `Create a check run.`"
thread_id,"thread_id parameter"
username,"username parameter"
org,"org parameter"
all,"If true, show notifications marked as read."
participating,"If true, only shows notifications in which the user is directly participating or mentioned."
since,"Only show notifications updated after the given time. This is a timestamp in ISO 8601 format: YYYY-MM-DDTHH:MM:SSZ."
before,"Only show notifications updated before the given time. This is a timestamp in ISO 8601 format: YYYY-MM-DDTHH:MM:SSZ."
sort,"One of created (when the repository was starred) or updated (when it was last pushed to)."
direction,"One of asc (ascending) or desc (descending)."
last_read_at,"Describes the last point that notifications were checked. Anything updated since this time will not be updated. This is a timestamp in ISO 8601 format: YYYY-MM-DDTHH:MM:SSZ. Default: The current timestamp."
subscribed,"Determines if notifications should be received from this repository."
ignored,"Determines if all notifications should be blocked from this repository."
installation_id,"installation_id parameter"
repository_id,"repository_id parameter"
account_id,"account_id parameter"
client_id,"client_id parameter"
access_token,"The OAuth access token used to authenticate to the GitHub API."
content_reference_id,"contentreferenceid parameter"
title,"The title of the content attachment displayed in the body or comment of an issue or pull request."
body,"The body text of the content attachment displayed in the body or comment of an issue or pull request. This parameter supports markdown."
code,"code parameter"
repository_ids,"The ids of the repositories that the installation token can access. Providing repository ids restricts the access of an installation token to specific repositories. You can use the `List repositories` endpoint to get the id of all repositories that an installation can access. For example, you can select specific repositories when creating an installation token to restrict the number of repositories that can be cloned using the token."
permissions,"The permissions granted to the access token. The permissions object includes the permission names and their access type. For a complete list of permissions and allowable values, see `GitHub App permissions.`"
app_slug,"app_slug parameter"
plan_id,"plan_id parameter"
head_sha,"The SHA of the commit."
details_url,"The URL of the integrator's site that has the full details of the check."
external_id,"A reference for the run on the integrator's system."
started_at,"The time that the check run began. This is a timestamp in ISO 8601 format: YYYY-MM-DDTHH:MM:SSZ."
conclusion,"Required if you provide completed_at or a status of completed. The final conclusion of the check. Can be one of success, failure, neutral, cancelled, timed_out, or action_required. When the conclusion is action_required, additional details should be provided on the site specified by details_url. Note: Providing conclusion will automatically set the status parameter to completed. Only GitHub can change a check run conclusion to stale."
completed_at,"The time the check completed. This is a timestamp in ISO 8601 format: YYYY-MM-DDTHH:MM:SSZ."
output,"Check runs can accept a variety of data in the output object, including a title and summary and can optionally provide descriptive details about the run. See the output object description."
output.title,"The title of the check run."
output.summary,"The summary of the check run. This parameter supports Markdown."
output.text,"The details of the check run. This parameter supports Markdown."
output.annotations,"Adds information from your analysis to specific lines of code. Annotations are visible on GitHub in the Checks and Files changed tab of the pull request. The Checks API limits the number of annotations to a maximum of 50 per API request. To create more than 50 annotations, you have to make multiple requests to the Update a check run endpoint. Each time you update the check run, annotations are appended to the list of annotations that already exist for the check run. For details about how you can view annotations on GitHub, see `About status checks`. See the annotations object description for details about how to use this parameter."
output.annotations[].path,"The path of the file to add an annotation to. For example, assets/css/main.css."
output.annotations[].start_line,"The start line of the annotation."
output.annotations[].end_line,"The end line of the annotation."
output.annotations[].start_column,"The start column of the annotation. Annotations only support start_column and end_column on the same line. Omit this parameter if start_line and end_line have different values."
output.annotations[].end_column,"The end column of the annotation. Annotations only support start_column and end_column on the same line. Omit this parameter if start_line and end_line have different values."
output.annotations[].annotation_level,"The level of the annotation. Can be one of notice, warning, or failure."
output.annotations[].message,"A short description of the feedback for these lines of code. The maximum size is 64 KB."
output.annotations[].title,"The title that represents the annotation. The maximum size is 255 characters."
output.annotations[].raw_details,"Details about this annotation. The maximum size is 64 KB."
output.images,"Adds images to the output displayed in the GitHub pull request UI. See the images object description for details."
output.images[].alt,"The alternative text for the image."
output.images[].image_url,"The full URL of the image."
output.images[].caption,"A short image description."
actions,"Displays a button on GitHub that can be clicked to alert your app to do additional tasks. For example, a code linting app can display a button that automatically fixes detected errors. The button created in this object is displayed after the check run completes. When a user clicks the button, GitHub sends the check_run.requested_action webhook to your app. Each action includes a label, identifier and description. A maximum of three actions are accepted. See the actions object description. To learn more about check runs and requested actions, see `Check runs and requested actions.` To learn more about check runs and requested actions, see `Check runs and requested actions.`"
actions[].label,"The text to be displayed on a button in the web UI. The maximum size is 20 characters."
actions[].description,"A short explanation of what this action would do. The maximum size is 40 characters."
actions[].identifier,"A reference for the action on the integrator's system. The maximum size is 20 characters."
check_run_id,"checkrunid parameter"
check_suite_id,"checksuiteid parameter"
ref,"ref parameter"
check_name,"Returns check runs with the specified name."
filter,"Filters check runs by their completed_at timestamp. Can be one of latest (returning the most recent check runs) or all."
app_id,"Filters check suites by GitHub App id."
auto_trigger_checks,"Enables or disables automatic creation of CheckSuite events upon pushes to the repository. Enabled by default. See the auto_trigger_checks object description for details."
auto_trigger_checks[].app_id,"The id of the GitHub App."
auto_trigger_checks[].setting,"Set to true to enable automatic creation of CheckSuite events upon pushes to the repository, or false to disable them."
key,"key parameter"
gist_id,"gist_id parameter"
files,"The filenames and content of each file in the gist. The keys in the files object represent the filename and have the type string."
files.content,"The content of the file."
description,"A descriptive name for this gist."
public,"When true, the gist will be public and available for anyone to see."
comment_id,"comment_id parameter"
sha,"sha parameter"
files.filename,"The new name for this file. To delete a file, set the value of the filename to null."
content,"The new blob's content."
encoding,"The encoding used for content. Currently, `utf-8` and `base64` are supported."
message,"The commit message"
tree,"The SHA of the tree object this commit points to"
parents,"The SHAs of the commits that were the parents of this commit. If omitted or empty, the commit will be written as a root commit. For a single parent, an array of one SHA should be provided; for a merge commit, an array of more than one should be provided."
author,"Information about the author of the commit. By default, the author will be the authenticated user and the current date. See the author and committer object below for details."
author.name,"The name of the author (or committer) of the commit"
author.email,"The email of the author (or committer) of the commit"
author.date,"Indicates when this commit was authored (or committed). This is a timestamp in ISO 8601 format: YYYY-MM-DDTHH:MM:SSZ."
committer,"Information about the person who is making the commit. By default, committer will use the information set in author. See the author and committer object below for details."
committer.name,"The name of the author (or committer) of the commit"
committer.email,"The email of the author (or committer) of the commit"
committer.date,"Indicates when this commit was authored (or committed). This is a timestamp in ISO 8601 format: YYYY-MM-DDTHH:MM:SSZ."
signature,"The PGP signature of the commit. GitHub adds the signature to the gpgsig header of the created commit. For a commit signature to be verifiable by Git or GitHub, it must be an ASCII-armored detached PGP signature over the string commit as it would be written to the object database. To pass a signature parameter, you need to first manually create a valid PGP signature, which can be complicated. You may find it easier to use the command line to create signed commits."
tag,"The tag's name. This is typically a version (e.g., `v0.0.1`)."
object,"The SHA of the git object this is tagging."
type,"The type of the object we're tagging. Normally this is a commit but it can also be a tree or a blob."
tagger,"An object with information about the individual creating the tag."
tagger.name,"The name of the author of the tag"
tagger.email,"The email of the author of the tag"
tagger.date,"When this object was tagged. This is a timestamp in ISO 8601 format: YYYY-MM-DDTHH:MM:SSZ."
tree[].path,"The file referenced in the tree."
tree[].mode,"The file mode; one of 100644 for file (blob), 100755 for executable (blob), 040000 for subdirectory (tree), 160000 for submodule (commit), or 120000 for a blob that specifies the path of a symlink."
tree[].type,"Either blob, tree, or commit."
tree[].sha,"The SHA1 checksum ID of the object in the tree. Also called tree.sha. If the value is null then the file will be deleted."
tree[].content,"The content you want this file to have. GitHub will write this blob out and use that SHA for this entry. Use either this, or tree.sha."
base_tree,"The SHA1 of the tree you want to update with new data. If you don't set this, the commit will be created on top of everything; however, it will only contain your change, the rest of your files will show up as deleted."
file_sha,"file_sha parameter"
commit_sha,"commit_sha parameter"
tag_sha,"tag_sha parameter"
tree_sha,"tree_sha parameter"
recursive,"recursive parameter"
force,"Indicates whether to force the update or to make sure the update is a fast-forward update. Leaving this out or setting it to false will make sure you're not overwriting work."
limit,"Specifies the group of GitHub users who can comment, open issues, or create pull requests in public repositories for the given organization. Must be one of: existing_users, contributors_only, or collaborators_only."
issue_number,"issue_number parameter"
assignees,"Usernames of people to assign this issue to. NOTE: Only users with push access can add assignees to an issue. Assignees are silently ignored otherwise."
labels,"The name of the label to add to the issue. Must contain at least one label. Note: Alternatively, you can pass a single label as a string or an array of labels directly, but GitHub recommends passing an object with the labels key."
assignee,"assignee parameter"
milestone,"The number of the milestone to associate this issue with. NOTE: Only users with push access can set the milestone for new issues. The milestone is silently dropped otherwise."
color,"The hexadecimal color code for the label, without the leading #."
state,"The state of the milestone. Either open or closed."
due_on,"The milestone due date. This is a timestamp in ISO 8601 format: YYYY-MM-DDTHH:MM:SSZ."
milestone_number,"milestone_number parameter"
event_id,"event_id parameter"
creator,"The user that created the issue."
mentioned,"A user that's mentioned in the issue."
lock_reason,"The reason for locking the issue or pull request conversation. Lock will fail if you don't use one of these reasons: * off-topic * too heated * resolved * spam"
new_name,"The new name of the label. Emoji can be added to label names, using either native emoji or colon-style markup. For example, typing :strawberry: will render the emoji . For a full list of available emoji and codes, see emoji-cheat-sheet.com."
license,"license parameter"
text,"The Markdown text to render in HTML. Markdown content must be 400 KB or less."
mode,"The rendering mode. Can be either: * markdown to render a document in plain Markdown, just like README.md files are rendered. * gfm to render a document in GitHub Flavored Markdown, which creates links for user mentions as well as references to SHA-1 hashes, issues, and pull requests."
context,"The repository context to use when creating references in gfm mode. Omit this parameter when using markdown mode."
data,"data parameter"
migration_id,"migration_id parameter"
author_id,"author_id parameter"
email,"The new Git author email."
use_lfs,"Can be one of opt_in (large files will be stored using Git LFS) or opt_out (large files will be removed during the import)."
repositories,"An array of repositories to include in the migration."
lock_repositories,"Locks the repositories to prevent changes during the migration when set to true."
exclude_attachments,"Does not include attachments uploaded to GitHub.com in the migration data when set to true. Excluding attachments will reduce the migration archive file size."
vcs_url,"The URL of the originating repository."
vcs,"The originating VCS type. Can be one of subversion, git, mercurial, or tfvc. Please be aware that without this parameter, the import job will take additional time to detect the VCS type before beginning the import. This detection step will be reflected in the response."
vcs_username,"If authentication is required, the username to provide to vcs_url."
vcs_password,"If authentication is required, the password to provide to vcs_url."
tfvc_project,"For a tfvc import, the name of the project that is being imported."
repo_name,"repo_name parameter"
role,"The role to give the user in the organization. Can be one of: * admin - The user will become an owner of the organization. * member - The user will become a non-owner member of the organization."
config,"Key/value pairs to provide settings for this webhook. These are defined below."
config.url,"The URL to which the payloads will be delivered."
config.content_type,"The media type used to serialize the payloads. Supported values include json and form. The default is form."
config.secret,"If provided, the secret will be used as the key to generate the HMAC hex digest value in the X-Hub-Signature header."
config.insecure_ssl,"Determines whether the SSL certificate of the host for url will be verified when delivering payloads. Supported values include 0 (verification is performed) and 1 (verification is not performed). The default is 0. We strongly recommend not setting this to 1 as you are subject to man-in-the-middle and other attacks."
events,"Determines what events the hook is triggered for."
